

EXPERIMENT INFO for MSS, AP2_6178_WM_swmrun1_01_ct.txt_10-Aug-2012_08-56.mat

Subject Code = AP2_6178
Input File = swmrun1_01_ct.txt
Experiment notes: 

Trial	Order	Onset	Dur	RT	Response

1	1	0.04	8.00	0.000	
2	2	8.06	3.00	0.000	
3	3	11.08	4.00	0.000	
4	4	15.09	0.55	0.000	
5	5	15.65	1.50	0.000	
6	6	17.16	6.00	0.000	
7	7	23.18	1.93	0.000	
8	8	25.12	3.22	3.196	1
9	9	29.13	2.17	0.000	
10	10	31.32	4.00	0.000	
11	11	35.33	2.58	0.000	
12	12	37.92	1.50	0.000	
13	13	39.43	6.00	0.000	
14	14	45.45	2.17	0.000	
15	15	47.64	2.45	2.449	1
16	16	51.63	1.80	0.000	
17	17	53.45	4.00	0.000	
18	18	57.47	1.43	0.000	
19	19	58.91	1.50	0.000	
20	20	60.42	6.00	0.000	
21	21	66.44	1.27	0.000	
22	22	67.73	2.79	2.787	1
23	23	71.73	2.26	0.000	
24	24	74.00	4.00	0.000	
25	25	78.01	2.09	0.000	
26	26	80.11	1.50	0.000	
27	27	81.62	6.00	0.000	
28	28	87.64	3.17	0.000	
29	29	90.82	2.88	2.881	1
30	30	94.84	3.38	0.000	
31	31	98.24	4.00	0.000	
32	32	102.25	1.69	0.000	
33	33	103.96	1.50	0.000	
34	34	105.46	6.00	0.000	
35	35	111.48	4.18	0.000	
36	36	115.68	1.70	1.699	2
37	37	119.67	3.32	0.000	
38	38	123.00	4.00	0.000	
39	39	127.02	1.43	0.000	
40	40	128.46	1.50	0.000	
41	41	129.97	6.00	0.000	
42	42	135.99	1.00	0.000	
43	43	137.00	2.41	2.411	2
44	44	140.99	1.61	0.000	
45	45	142.63	4.00	0.000	
46	46	146.65	0.87	0.000	
47	47	147.54	1.50	0.000	
48	48	149.05	6.00	0.000	
49	49	155.07	4.64	0.000	
50	50	159.73	4.00	0.000	
51	51	163.74	0.19	0.191	2
52	52	166.26	4.00	0.000	
53	53	170.27	3.00	0.000	
54	54	173.29	1.50	0.000	
55	55	174.80	6.00	0.000	
56	56	180.82	3.81	0.000	
57	57	184.65	1.59	1.585	2
58	58	188.64	0.86	0.000	
59	59	189.52	4.00	0.000	
60	60	193.53	0.10	0.000	
61	61	193.65	1.50	0.000	
62	62	195.16	6.00	0.000	
