%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	hshift	vshift
s	1	0	8	8	1	1234	t	t	+	+	0	0
s	1	0	3	3	1	1234	t	t	PERSONALITY	PERSONALITY	0	0
s	1	0	4	4	1	1234	t	t	Soriya\n\nMedina	Soriya\n\nMedina	0	0
s	1	0	0.9066	0.9066	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	happy	happy	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	2.5487	2.5487	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nSoriya	second?\n\nSoriya	0	0
s	1	0	2.185	2.185	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nManizha\n\nAnisa	Dominique\n\nManizha\n\nAnisa	0	0
s	1	0	2.3387	2.3387	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	perceptive	perceptive	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.1164	0.1164	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nManizha	second?\n\nManizha	0	0
s	1	0	0.2905	0.2905	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Homa\n\nManizha\n\nMedina\n\nCassie	Homa\n\nManizha\n\nMedina\n\nCassie	0	0
s	1	0	2.0252	2.0252	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	grateful	grateful	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	2.1346	2.1346	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	third?\n\nMedina	third?\n\nMedina	0	0
s	1	0	1.2796	1.2796	1	1234	t	t	+	+	0	0
s	1	0	3	3	1	1234	t	t	ALPHABETIZE	ALPHABETIZE	0	0
s	1	0	4	4	1	1234	t	t	Manizha\n\nSoriya	Manizha\n\nSoriya	0	0
s	1	0	2.0252	2.0252	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	2.1346	2.1346	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nManizha	second?\n\nManizha	0	0
s	1	0	1.2796	1.2796	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Star\n\nMedina\n\nAli\n\nDominique	Star\n\nMedina\n\nAli\n\nDominique	0	0
s	1	0	0.0597	0.0597	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	1.8261	1.8261	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	fourth?\n\nDominique	fourth?\n\nDominique	0	0
s	1	0	2.8163	2.8163	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Star\n\nSoriya\n\nHoma	Star\n\nSoriya\n\nHoma	0	0
s	1	0	0.0449	0.0449	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	2.6831	2.6831	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nHoma	second?\n\nHoma	0	0
s	1	0	2.0304	2.0304	1	1234	t	t	+	+	0	0
