%type	num	pre	maxTime	totTime	rep	stpEvt	bg	st	bgFile	stFile	hshift	vshift
s	1	0	8	8	1	1234	t	t	+	+	0	0
s	1	0	3	3	1	1234	t	t	ALPHABETIZE	ALPHABETIZE	0	0
s	1	0	4	4	1	1234	t	t	Manizha\n\nMedina\n\nAnisa\n\nDominique	Manizha\n\nMedina\n\nAnisa\n\nDominique	0	0
s	1	0	0.9118	0.9118	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	1.1917	1.1917	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nMedina	first?\n\nMedina	0	0
s	1	0	2.5795	2.5795	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Cassie\n\nDominique	Cassie\n\nDominique	0	0
s	1	0	2.5775	2.5775	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	2.1746	2.1746	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nDominique	first?\n\nDominique	0	0
s	1	0	1.7999	1.7999	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Zahra\n\nDominique	Zahra\n\nDominique	0	0
s	1	0	1.4275	1.4275	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	1.2695	1.2695	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nZahra	second?\n\nZahra	0	0
s	1	0	2.2572	2.2572	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Medina\n\nCassie\n\nAnisa\n\nAli	Medina\n\nCassie\n\nAnisa\n\nAli	0	0
s	1	0	2.093	2.093	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	3.1731	3.1731	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nCassie	first?\n\nCassie	0	0
s	1	0	3.378	3.378	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nManizha\n\nHoma	Dominique\n\nManizha\n\nHoma	0	0
s	1	0	1.6933	1.6933	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4.1838	4.1838	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	third?\n\nManizha	third?\n\nManizha	0	0
s	1	0	3.3232	3.3232	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Cassie\n\nSoriya\n\nMedina\n\nManizha	Cassie\n\nSoriya\n\nMedina\n\nManizha	0	0
s	1	0	1.4273	1.4273	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.9969	0.9969	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	third?\n\nCassie	third?\n\nCassie	0	0
s	1	0	1.6135	1.6135	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Medina\n\nDominique\n\nAnisa	Medina\n\nDominique\n\nAnisa	0	0
s	1	0	0.874	0.874	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4.6375	4.6375	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nMedina	first?\n\nMedina	0	0
s	1	0	2.5158	2.5158	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Medina\n\nStar\n\nSoriya	Medina\n\nStar\n\nSoriya	0	0
s	1	0	3.0027	3.0027	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	3.8132	3.8132	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nStar	second?\n\nStar	0	0
s	1	0	0.8643	0.8643	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nCassie\n\nManizha	Dominique\n\nCassie\n\nManizha	0	0
s	1	0	0.1023	0.1023	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alphabetize	alphabetize	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	2.4717	2.4717	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	third?\n\nDominique	third?\n\nDominique	0	0
s	1	0	1.1143	1.1143	1	1234	t	t	+	+	0	0
s	1	0	3	3	1	1234	t	t	PERSONALITY	PERSONALITY	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nHoma	Dominique\n\nHoma	0	0
s	1	0	0.0568	0.0568	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	sociable	sociable	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.9169	0.9169	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nDominique	second?\n\nDominique	0	0
s	1	0	1.8113	1.8113	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Soriya\n\nHoma\n\nCassie	Soriya\n\nHoma\n\nCassie	0	0
s	1	0	0.7116	0.7116	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	practical	practical	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.5904	0.5904	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	third?\n\nSoriya	third?\n\nHoma	0	0
s	1	0	0.4396	0.4396	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Soriya\n\nHoma	Soriya\n\nHoma	0	0
s	1	0	0.7149	0.7149	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	wise	wise	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.8501	0.8501	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nHoma	second?\n\nHoma	0	0
s	1	0	4.0469	4.0469	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nMedina\n\nCassie	Dominique\n\nMedina\n\nCassie	0	0
s	1	0	1.0855	1.0855	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	patient	patient	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.1053	0.1053	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nMedina	first?\n\nCassie	0	0
s	1	0	0.8952	0.8952	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nZahra	Dominique\n\nZahra	0	0
s	1	0	0.9963	0.9963	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	productive	productive	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	1.8999	1.8999	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	second?\n\nZahra	second?\n\nZahra	0	0
s	1	0	3.4095	3.4095	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nZahra	Dominique\n\nZahra	0	0
s	1	0	2.1964	2.1964	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	kind	kind	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.4359	0.4359	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nZahra	first?\n\nZahra	0	0
s	1	0	1.2934	1.2934	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Soriya\n\nManizha\n\nHoma\n\nStar	Soriya\n\nManizha\n\nHoma\n\nStar	0	0
s	1	0	0.2481	0.2481	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	secure	secure	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.2991	0.2991	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nStar	first?\n\nStar	0	0
s	1	0	2.4766	2.4766	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Dominique\n\nZahra\n\nAli	Dominique\n\nZahra\n\nAli	0	0
s	1	0	0.9423	0.9423	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	trusting	trusting	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4.1909	4.1909	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	first?\n\nZahra	first?\n\nZahra	0	0
s	1	0	2.8862	2.8862	1	1234	t	t	+	+	0	0
s	1	0	4	4	1	1234	t	t	Soriya\n\nDominique\n\nHoma	Soriya\n\nDominique\n\nHoma	0	0
s	1	0	1.4201	1.4201	1	1234	t	t	+	+	0	0
s	1	0	1.5	1.5	1	1234	t	t	alert	alert	0	0
s	1	0	6	6	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	0.8095	0.8095	1	1234	p	p	greenplus.jpg	greenplus.jpg	0	0
s	1	0	4	4	1	1234	t	t	third?\n\nHoma	third?\n\nHoma	0	0
s	1	0	1.3837	1.3837	1	1234	t	t	+	+	0	0
